DL;3843;Delta Air Lines;MKE;Milwaukee;7:35 PM;false
VS;3281;Virgin Atlantic;MKE;Milwaukee;7:35 PM;true
B6;993;JetBlue Airways;DEN;Denver;7:39 PM;false
EK;6021;Emirates;DEN;Denver;7:39 PM;true
FI;7887;Icelandair;DEN;Denver;7:39 PM;true
QR;4236;Qatar Airways;DEN;Denver;7:39 PM;true
DL;3348;Delta Air Lines;CMH;Columbus;7:40 PM;false
AF;2188;Air France;CMH;Columbus;7:40 PM;true
VS;2370;Virgin Atlantic;CMH;Columbus;7:40 PM;true
DL;126;Delta Air Lines;AMS;Amsterdam;7:40 PM;false
9W;8027;Jet Airways (India);AMS;Amsterdam;7:40 PM;true
KL;6016;KLM;AMS;Amsterdam;7:40 PM;true
DL;58;Delta Air Lines;LHR;London;7:41 PM;false
9W;8086;Jet Airways (India);LHR;London;7:41 PM;true
AF;3681;Air France;LHR;London;7:41 PM;true
KL;6186;KLM;LHR;London;7:41 PM;true
VS;4012;Virgin Atlantic;LHR;London;7:41 PM;true
UA;1202;United Airlines;EWR;Newark;7:43 PM;false
AD;7045;Azul;EWR;Newark;7:43 PM;true
CM;2016;Copa Airlines;EWR;Newark;7:43 PM;true
WS;3609;WestJet;YYZ;Toronto;7:45 PM;false
AA;8139;American Airlines;YYZ;Toronto;7:45 PM;true
DL;7035;Delta Air Lines;YYZ;Toronto;7:45 PM;true
JL;5714;JAL;YYZ;Toronto;7:45 PM;true
WN;525;Southwest Airlines;IND;Indianapolis;7:45 PM;false
B6;317;JetBlue Airways;JFK;New York;7:50 PM;false
EI;5013;Aer Lingus;JFK;New York;7:50 PM;true
EK;6702;Emirates;JFK;New York;7:50 PM;true
LY;8610;El Al;JFK;New York;7:50 PM;true
TP;8001;TAP Portugal;JFK;New York;7:50 PM;true
AA;4916;American Airlines;MDT;Middletown;7:50 PM;false
B6;777;JetBlue Airways;LAS;Las Vegas;7:55 PM;false
EI;5160;Aer Lingus;LAS;Las Vegas;7:55 PM;true
EK;6053;Emirates;LAS;Las Vegas;7:55 PM;true
HA;2333;Hawaiian Airlines;LAS;Las Vegas;7:55 PM;true
QR;4246;Qatar Airways;LAS;Las Vegas;7:55 PM;true
B6;691;JetBlue Airways;TPA;Tampa;7:55 PM;false
EI;5292;Aer Lingus;TPA;Tampa;7:55 PM;true
EK;6113;Emirates;TPA;Tampa;7:55 PM;true
FI;7849;Icelandair;TPA;Tampa;7:55 PM;true
JL;5884;JAL;TPA;Tampa;7:55 PM;true
QR;4252;Qatar Airways;TPA;Tampa;7:55 PM;true
B6;1301;JetBlue Airways;MSY;New Orleans;7:55 PM;false
EI;5178;Aer Lingus;MSY;New Orleans;7:55 PM;true
EK;6031;Emirates;MSY;New Orleans;7:55 PM;true
QR;4116;Qatar Airways;MSY;New Orleans;7:55 PM;true
AA;1247;American Airlines;PHL;Philadelphia;7:59 PM;false
JL;7612;JAL;PHL;Philadelphia;7:59 PM;true
AA;2116;American Airlines;DCA;Washington;8:00 PM;false
AF;333;Air France;CDG;Paris;8:00 PM;false
AZ;3536;Alitalia;CDG;Paris;8:00 PM;true
DL;8399;Delta Air Lines;CDG;Paris;8:00 PM;true
DL;2740;Delta Air Lines;LGA;New York;8:00 PM;false
AF;3478;Air France;LGA;New York;8:00 PM;true
WS;6369;WestJet;LGA;New York;8:00 PM;true
NK;615;Spirit Airlines;FLL;Fort Lauderdale;8:04 PM;false
B6;1841;JetBlue Airways;CLE;Cleveland;8:05 PM;false
EI;5364;Aer Lingus;CLE;Cleveland;8:05 PM;true
FI;7875;Icelandair;CLE;Cleveland;8:05 PM;true
QR;4234;Qatar Airways;CLE;Cleveland;8:05 PM;true
B6;1837;JetBlue Airways;DTW;Detroit;8:05 PM;false
EI;5308;Aer Lingus;DTW;Detroit;8:05 PM;true
FI;7843;Icelandair;DTW;Detroit;8:05 PM;true
JL;5896;JAL;DTW;Detroit;8:05 PM;true
QR;4242;Qatar Airways;DTW;Detroit;8:05 PM;true
BA;202;British Airways;LHR;London;8:10 PM;false
AA;6200;American Airlines;LHR;London;8:10 PM;true
AY;5502;Finnair;LHR;London;8:10 PM;true
EI;8902;Aer Lingus;LHR;London;8:10 PM;true
IB;4732;Iberia;LHR;London;8:10 PM;true
NK;1027;Spirit Airlines;BWI;Baltimore;8:18 PM;false
FX;1206;FedEx;MEM;Memphis;8:28 PM;false
B6;1489;JetBlue Airways;DCA;Washington;8:30 PM;false
FI;7825;Icelandair;DCA;Washington;8:30 PM;true
JL;5860;JAL;DCA;Washington;8:30 PM;true
AC;7689;Air Canada;YYZ;Toronto;8:30 PM;false
UA;8353;United Airlines;YYZ;Toronto;8:30 PM;true
LH;425;Lufthansa;MUC;Munich;8:30 PM;false
AC;9454;Air Canada;MUC;Munich;8:30 PM;true
SN;7241;Brussels Airlines;MUC;Munich;8:30 PM;true
UA;8903;United Airlines;MUC;Munich;8:30 PM;true
FI;630;Icelandair;KEF;Reykjavik;8:35 PM;false
B6;5630;JetBlue Airways;KEF;Reykjavik;8:35 PM;true
B6;469;JetBlue Airways;FLL;Fort Lauderdale;8:35 PM;false
EI;5142;Aer Lingus;FLL;Fort Lauderdale;8:35 PM;true
JL;5862;JAL;FLL;Fort Lauderdale;8:35 PM;true
QR;4120;Qatar Airways;FLL;Fort Lauderdale;8:35 PM;true
AA;4135;American Airlines;PIT;Pittsburgh;8:50 PM;false
JL;7614;JAL;PIT;Pittsburgh;8:50 PM;true
B6;865;JetBlue Airways;RSW;Fort Myers;8:50 PM;false
EI;5244;Aer Lingus;RSW;Fort Myers;8:50 PM;true
EK;6093;Emirates;RSW;Fort Myers;8:50 PM;true
JL;5880;JAL;RSW;Fort Myers;8:50 PM;true
QR;4026;Qatar Airways;RSW;Fort Myers;8:50 PM;true
B6;1583;JetBlue Airways;RDU;Raleigh/Durham;8:59 PM;false
EI;5228;Aer Lingus;RDU;Raleigh/Durham;8:59 PM;true
FI;7819;Icelandair;RDU;Raleigh/Durham;8:59 PM;true
JL;5874;JAL;RDU;Raleigh/Durham;8:59 PM;true
QR;4018;Qatar Airways;RDU;Raleigh/Durham;8:59 PM;true
B6;1427;JetBlue Airways;BWI;Baltimore;8:59 PM;false
EI;5108;Aer Lingus;BWI;Baltimore;8:59 PM;true
JL;5856;JAL;BWI;Baltimore;8:59 PM;true
B6;121;JetBlue Airways;PBI;West Palm Beach;9:01 PM;false
EI;5186;Aer Lingus;PBI;West Palm Beach;9:01 PM;true
EK;6073;Emirates;PBI;West Palm Beach;9:01 PM;true
QR;4010;Qatar Airways;PBI;West Palm Beach;9:01 PM;true
B6;687;JetBlue Airways;LAX;Los Angeles;9:15 PM;false
FI;7865;Icelandair;LAX;Los Angeles;9:15 PM;true
HA;2313;Hawaiian Airlines;LAX;Los Angeles;9:15 PM;true
BA;214;British Airways;LHR;London;9:20 PM;false
AA;6165;American Airlines;LHR;London;9:20 PM;true
AY;5414;Finnair;LHR;London;9:20 PM;true
EI;8914;Aer Lingus;LHR;London;9:20 PM;true
IB;4641;Iberia;LHR;London;9:20 PM;true
DL;3500;Delta Air Lines;IND;Indianapolis;9:20 PM;false
AF;9318;Air France;IND;Indianapolis;9:20 PM;true
VS;3092;Virgin Atlantic;IND;Indianapolis;9:20 PM;true
WN;254;Southwest Airlines;MDW;Chicago;9:25 PM;false
B6;1451;JetBlue Airways;MCO;Orlando;9:30 PM;false
EI;5172;Aer Lingus;MCO;Orlando;9:30 PM;true
FI;7813;Icelandair;MCO;Orlando;9:30 PM;true
QR;4002;Qatar Airways;MCO;Orlando;9:30 PM;true
EI;138;Aer Lingus;DUB;Dublin;9:30 PM;false
BA;6138;British Airways;DUB;Dublin;9:30 PM;true
UA;7638;United Airlines;DUB;Dublin;9:30 PM;true
QR;744;Qatar Airways;DOH;Doha;9:35 PM;false
VS;12;Virgin Atlantic;LHR;London;9:40 PM;false
DL;4379;Delta Air Lines;LHR;London;9:40 PM;true
SQ;2512;Singapore Airlines;LHR;London;9:40 PM;true
LX;53;SWISS;ZRH;Zurich;9:45 PM;false
UA;9721;United Airlines;ZRH;Zurich;9:45 PM;true
WN;461;Southwest Airlines;BWI;Baltimore;9:45 PM;false
1I;313;NetJets Aviation;APA;Denver;10:00 PM;false
S4;220;Azores Airlines;PDL;Ponta Delgada (Azores);10:05 PM;false
TP;6504;TAP Portugal;PDL;Ponta Delgada (Azores);10:05 PM;true
B6;923;JetBlue Airways;STI;Santiago;10:08 PM;false
B6;829;JetBlue Airways;SDQ;Santo Domingo;10:14 PM;false
EK;238;Emirates;DXB;Dubai;10:20 PM;false
B6;5018;JetBlue Airways;DXB;Dubai;10:20 PM;true
FX;1610;FedEx;IND;Indianapolis;10:20 PM;false
FX;1026;FedEx;EWR;Newark;10:35 PM;false
AM;699;Aeromexico;MEX;Mexico City;11:25 PM;false
WS;6112;WestJet;MEX;Mexico City;11:25 PM;true
